Name_Ar,Price,Name_tr,Name_En,Category Name,Image
بيستاشيو فراب وسط,275.00,Antep fıstıklığı frappucino orta,Pistachio frappucino Medium,Blended Coffee,
فانيليا فراب وسط,250.00,Vanilla frappucino orta,Vanilla frappucino Medium,Blended Coffee,
كراميل فرابتشينو وسط,250.00,Karamel Frappucino orta,Caramel Frappucino Medium,Blended Coffee,
كوكيز فراب وسط,250.00,Cookies frappucino orta,Cookies frappucino Medium,Blended Coffee,
موكا فراب وسط,250.00,Mocha Frappucino orta,Mocha Frappucino Medium,Blended Coffee,
ايس امريكانو كبير,170.00, buzlu Americano büyük,Iced Americano large,Cold drinks,
ايس امريكانو وسط,150.00, buzlu Americano orta,Iced Americano medium,Cold drinks,
ايس بتر سكوتش كبير,220.00, buzlu butter scotch büyük,Iced butter scotch large,Cold drinks,
ايس بتر سكوتش وسط,200.00, buzlu butter scotch orta,Iced butter scotch medium,Cold drinks,
ايس بتر سوكتش لاتيه,180.00, buzlu butter scotch,Iced butter scotch,Cold drinks,
ايس بيكو لاتيه,200.00, buzlu piko latte,Iced piko latte,Cold drinks,
ايس بيكو لاتيه كبير,240.00, buzlu piko latte  büyük,Iced piko latte large,Cold drinks,
ايس بيكو لاتيه وسط,220.00, buzlu piko latte orta,Iced piko latte medium,Cold drinks,
ايس بينك بيري ماتشا لاتيه,190.00, buzlu Pink Perry matcha latte,Iced Pink Perry matcha latta,Cold drinks,
ايس بينك بيري ماتشا لاتيه كبير,250.00, buzlu Pink Perry matcha latte,Iced Pink Perry matcha latta learg,Cold drinks,
ايس بينك بيري ماتشا لاتيه وسط,220.00, buzlu pembe Perry matcha latte orta,Iced Pink Perry matcha latta Medium,Cold drinks,
ايس بينك ماتشا لاتيه,190.00, buzlu pemb matcha latte,Iced Pink matcha latte,Cold drinks,
ايس بينك ماتشا لاتيه كبير,250.00, buzlu pembe matcha latte büyük,Iced Pink matcha latte large,Cold drinks,
ايس بينك ماتشا لاتيه وسط,220.00, buzlu pembe matcha latte orta,Iced Pink matcha latte Medium,Cold drinks,
ايس تشيز كيك لاتيه,200.00, buzlu buzlu cheese cake latte,Iced cheese cake latte,Cold drinks,
ايس تشيز كيك لاتيه كبير,250.00, buzlu cheese cake latte büyük,Iced cheese cake latte large,Cold drinks,
ايس تشيز كيك لاتيه وسط,220.00, buzlu cheese cake latte orta,Iced cheese cake latte medium,Cold drinks,
ايس توفي نت لاتيه,180.00, buzlu Toffee fındık Latte,Iced Toffee Nut Latte,Cold drinks,
ايس توفي نت لاتيه كبير,240.00, buzlu Toffee fındık Latte büyük,Iced Toffee Nut Latte Large,Cold drinks,
