Table 1
اسم المادة,السعر,الاسم التركي,الاسم اللاتيني,اسم المجموعة,اسم المجموعة اللاتيني,الصور
كريب اوريو,350.00,Oreo krep,Oreo Crepe,الكريب,Crepe,
كريب بستاشيو,300.00,Antep fıstığı krep,Pistachio Crepe,الكريب,Crepe,
كريب بيكو,420.00,Piko krep,Piko Crepe,الكريب,Crepe,
كريب تشيز كيك,320.00,Cheesecake krep,Cheesecake Crepe,الكريب,Crepe,
كريب شوكولا,300.00,Çikolata krep,Chocolate Crepe,الكريب,Crepe,
كريب فواكه,400.00,Meyveli krep ,Fruit Crepe,الكريب,Crepe,
كريب فوتوتشيني,350.00,Fettucine ,Fettuccine Crepe,الكريب,Crepe,
كريب لوتوس,380.00,Lotus Crepe,Lotus Crepe,الكريب,Crepe,
ايس امريكانو,130.00,Soğuk Americano,Iced Americano,المشروبات الباردة,Cold drinks,
ايس امريكانو كبير,170.00,Soğuk Americano büyük,Iced Americano large,المشروبات الباردة,Cold drinks,
ايس امريكانو وسط,150.00,Soğuk Americano orta,Iced Americano medium,المشروبات الباردة,Cold drinks,
ايس بتر سكوتش كبير,220.00,Soğuk butter scotch büyük,Iced butter scotch large,المشروبات الباردة,Cold drinks,
ايس بتر سكوتش وسط,200.00,Soğuk butter scotch orta,Iced butter scotch medium,المشروبات الباردة,Cold drinks,
ايس بتر سوكتش لاتيه,180.00,Soğuk butter scotch,Iced butter scotch,المشروبات الباردة,Cold drinks,
ايس بيكو لاتيه,200.00,Soğuk piko latte,Iced piko latte,المشروبات الباردة,Cold drinks,
ايس بيكو لاتيه كبير,240.00,Soğuk piko latte  büyük,Iced piko latte large,المشروبات الباردة,Cold drinks,
ايس بيكو لاتيه وسط,220.00,Soğuk piko latte orta,Iced piko latte medium,المشروبات الباردة,Cold drinks,
ايس بينك بيري ماتشا لاتيه,190.00,Soğuk Pink Perry matcha latte,Iced Pink Perry matcha latta,المشروبات الباردة,Cold drinks,
ايس بينك بيري ماتشا لاتيه كبير,250.00,Soğuk Pink Perry matcha latte,Iced Pink Perry matcha latta learg,المشروبات الباردة,Cold drinks,
ايس بينك بيري ماتشا لاتيه وسط,220.00,Soğuk pembe Perry matcha latte orta,Iced Pink Perry matcha latta Medium,المشروبات الباردة,Cold drinks,
ايس بينك ماتشا لاتيه,190.00,Soğuk pemb matcha latte,Iced Pink matcha latte,المشروبات الباردة,Cold drinks,
ايس بينك ماتشا لاتيه كبير,250.00,Soğuk pembe matcha latte büyük,Iced Pink matcha latte large,المشروبات الباردة,Cold drinks,
ايس بينك ماتشا لاتيه وسط,220.00,Soğuk pembe matcha latte orta,Iced Pink matcha latte Medium,المشروبات الباردة,Cold drinks,
ايس تشيز كيك لاتيه,200.00,Soğuk cheese cake latte,Iced cheese cake latte,المشروبات الباردة,Cold drinks,
ايس تشيز كيك لاتيه كبير,250.00,Soğuk cheese cake latte büyük,Iced cheese cake latte large,المشروبات الباردة,Cold drinks,
ايس تشيز كيك لاتيه وسط,220.00,Soğuk cheese cake latte orta,Iced cheese cake latte medium,المشروبات الباردة,Cold drinks,
ايس توفي نت لاتيه,180.00,Soğuk Toffee fındık Latte,Iced Toffee Nut Latte,المشروبات الباردة,Cold drinks,
ايس توفي نت لاتيه كبير,240.00,Soğuk Toffee fındık Latte büyük,Iced Toffee Nut Latte Large,المشروبات الباردة,Cold drinks,
ايس توفي نت لاتيه وسط,220.00,Soğuk Toffee fındık Latte orta,Iced Toffee Nut Latte Medium,المشروبات الباردة,Cold drinks,
ايس زيبرا موكا لاتيه كبير,240.00,Soğuk Zebra mocha latte büyük,Iced Zebra mocha latte large,المشروبات الباردة,Cold drinks,
ايس زيبرا موكا لاتيه وسط,220.00,Soğuk Zebra mocha latte orta ,Iced Zebra mocha latte medium,المشروبات الباردة,Cold drinks,
ايس زيبره موكا لاتيه,200.00,Soğuk Zebra mocha latte,Iced Zebra mocha latte,المشروبات الباردة,Cold drinks,
ايس سبانش لاتيه,180.00,Soğuk Spanish Latte,Iced Spanish Latte,المشروبات الباردة,Cold drinks,
ايس سبانش لاتيه وسط,200.00,Soğuk Spanish Latte orta,Iced Spanish Latte medium,المشروبات الباردة,Cold drinks,
ايس سبانيش لاتيه كبير,220.00,Soğuk Spanish Latte büyük,Iced Spanish Latte Large,المشروبات الباردة,Cold drinks,
ايس ستروبري ماتشا لاتيه,190.00,Soğuk Strawberry matcha latte,Iced Strawberry matcha latte,المشروبات الباردة,Cold drinks,
ايس ستروبري ماتشا لاتيه كبير,250.00,Soğuk Strawberry matcha latte Soğuk,Iced Strawberry matcha latte large,المشروبات الباردة,Cold drinks,
ايس ستروبري ماتشا لاتيه وسط,220.00,Soğuk Strawberry matcha latte orta,Iced Strawberry matcha latte Medium,المشروبات الباردة,Cold drinks,
ايس ستروبيري موكا,200.00, buzlu strawberry mocha,Iced strawberry mocha,المشروبات الباردة,Cold drinks,
ايس ستروبيري موكا كبير,240.00, buzlu strawberry mocha büyük,Iced strawberry mocha large,المشروبات الباردة,Cold drinks,
ايس ستروبيري موكا وسط,220.00, buzlu strawberry mocha orta,Iced strawberry mocha medium,المشروبات الباردة,Cold drinks,
ايس سلتد كراميل لاتيه,180.00, buzlu Salted Caramel Latte,Iced Salted Caramel Latte,المشروبات الباردة,Cold drinks,
ايس سلتد كراميل لاتيه كبير,220.00, buzlu salted caramel latte büyük,Iced salted caramel latte large,المشروبات الباردة,Cold drinks,
ايس سلتد كراميل وسط,200.00, buzlu Salted Caramel Latte orta,Iced Salted Caramel Latte medium,المشروبات الباردة,Cold drinks,
ايس شاي تي لاتيه,200.00, buzlu chai tea latte,Iced chai tea latte,المشروبات الباردة,Cold drinks,
ايس شاي تي لاتيه كبير,240.00, buzlu chai tea latte büyük,Iced chai tea latte Large,المشروبات الباردة,Cold drinks,
ايس شاي تي لاتيه وسط,220.00, buzlu chai tea latte medium,Iced chai tea latte medium,المشروبات الباردة,Cold drinks,
ايس فانيليا لاتيه,180.00, buzlu Vanilla Latte,Iced Vanilla Latte,المشروبات الباردة,Cold drinks,
ايس فانيليا لاتيه كبير,220.00, buzlu Vanilla Latte büyük,Iced Vanilla Latte Large,المشروبات الباردة,Cold drinks,
ايس فانيليا لاتيه وسط,200.00, buzlu Vanilla Latte orta,Iced Vanilla Latte Medium,المشروبات الباردة,Cold drinks,
ايس فيلتر قهوة,125.00, buzlu Filter Coffee,Iced Filter Coffee,المشروبات الباردة,Cold drinks,
ايس فيلتر قهوة بالحليب,140.00, buzlu Filter Coffee with Milk,Iced Filter Coffee with Milk,المشروبات الباردة,Cold drinks,
ايس فيلترة قهوة بالحليب كبير,180.00, buzlu Filter Coffee with Milk büyük,Iced Filter Coffee with Milk Large,المشروبات الباردة,Cold drinks,
ايس فيلترة قهوة بالحليب وسط,160.00, buzlu Filter Coffee with Milk orta,Iced Filter Coffee with Milk Medium,المشروبات الباردة,Cold drinks,
ايس فيلترة قهوة كبير,145.00, buzlu Filter Coffee büyük,Iced Filter Coffee Large,المشروبات الباردة,Cold drinks,
ايس فيلترة قهوة وسط,130.00, buzlu Filter Coffee Medium,Iced Filter Coffee Medium,المشروبات الباردة,Cold drinks,
ايس كراميل لاتيه,180.00, buzlu Caramel Latte,Iced Caramel Latte,المشروبات الباردة,Cold drinks,
ايس كراميل لاتيه كبير,220.00, buzlu Caramel Latte büyük,Iced Caramel Latte Large,المشروبات الباردة,Cold drinks,
ايس كراميل لاتيه وسط,200.00, buzlu Caramel Latte orta,Iced Caramel Latte Medium,المشروبات الباردة,Cold drinks,
ايس كراميل مكياتو,180.00, buzlu caramel macchiato,Iced caramel macchiato,المشروبات الباردة,Cold drinks,
ايس كراميل مكياتو كبير,220.00, buzlu caramel macchiato büyük,Iced caramel macchiato Large,المشروبات الباردة,Cold drinks,
ايس كراميل مكياتو وسط,200.00,buzlu caramel macchiato orta,Iced caramel macchiato Medium,المشروبات الباردة,Cold drinks,
ايس لاتيه,160.00,buzlu Latte,Iced Latte,المشروبات الباردة,Cold drinks,
ايس لاتيه كبير,200.00,buzlu Latte Large,Iced Latte Large,المشروبات الباردة,Cold drinks,
ايس لاتيه وسط,180.00,buzlu Latte Medium,Iced Latte Medium,المشروبات الباردة,Cold drinks,
ايس ماتشا لاتيه,190.00,buzlu Matcha latte,Iced Matcha latte,المشروبات الباردة,Cold drinks,
ايس ماتشا لاتيه كبير,250.00,buzlu Matcha latte büyük,Iced Matcha latte large,المشروبات الباردة,Cold drinks,
ايس ماتشا لاتيه وسط,220.00,buzlu Matcha latte orta,Iced Matcha latte Medium,المشروبات الباردة,Cold drinks,
ايس موكا لاتيه,200.00,buzlu Mocha Latte,Iced Mocha Latte,المشروبات الباردة,Cold drinks,
ايس موكا لاتيه كبير,240.00,buzlu Mocha Latte büyük,Iced Mocha Latte Large,المشروبات الباردة,Cold drinks,
ايس موكا لاتيه وسط,220.00,buzlu Mocha Latte orta,Iced Mocha Latte Medium,المشروبات الباردة,Cold drinks,
ايس وايت شوكليت موكا كبير,240.00,buzlu White Chocolate Mocha büyük,Iced White Chocolate Mocha Large,المشروبات الباردة,Cold drinks,
ايس وايت شوكليت موكا وسط,220.00,buzlu White Chocolate Mocha orta,Iced White Chocolate Mocha Medium,المشروبات الباردة,Cold drinks,
ايس وايت موكا,200.00,buzlu White Chocolate Mocha,Iced White Chocolate Mocha,المشروبات الباردة,Cold drinks,
تشيري بلوسوم ايس لاتيه كبير,240.00,Cherry Blossom Iced Latte büyük,Cherry Blossom Iced Latte Large,المشروبات الباردة,Cold drinks,
تشيري بلوسوم ايس لاتيه وسط,220.00,Cherry Blossom Iced Latte orta,Cherry Blossom Iced Latte Medium,المشروبات الباردة,Cold drinks,
شيري بلوسوم ايس لاتيه,180.00,Cherry Blossom Iced Latte,Cherry Blossom Iced Latte,المشروبات الباردة,Cold drinks,
كراميل بابلز ايس لاتيه,180.00,Caramel bubbles Iced Latte,Caramel bubbles Iced Latte,المشروبات الباردة,Cold drinks,
كراميل بابلز ايس لاتيه كبير,220.00,karamel bubbles Iced Latte büyük,Caramel bubbles Iced Latte Large,المشروبات الباردة,Cold drinks,
كراميل بابلز ايس لاتيه وسط,200.00,karamel bubbles Iced Latte orta,Caramel bubbles Iced Latte Medium,المشروبات الباردة,Cold drinks,
كوكو نت ايس لاتيه,180.00,Hinistan buzlu Latte,Coconut Iced Latte,المشروبات الباردة,Cold drinks,
كوكو نت ايس لاتيه كبير,220.00,Hinistan buzlu  Latte büyük,Coconut Iced Latte Large,المشروبات الباردة,Cold drinks,
كوكو نت ايس لاتيه وسط,200.00,Hinistan buzlu  Latte orta,Coconut Iced Latte Medium,المشروبات الباردة,Cold drinks,
اسبريسو,95.00,Espresso,Espresso,المشروبات الساخنة,Hot drinks,
اسبريسو افوكاتو,195.00,Espresso Affogato,Espresso Affogato,المشروبات الساخنة,Hot drinks,
اسبريسو ريستريتو,95.00,Espresso Ristretto,Espresso Ristretto,المشروبات الساخنة,Hot drinks,
اسبريسو مكياتو,120.00,Espresso Macchiato,Espresso Macchiato,المشروبات الساخنة,Hot drinks,
امريكانو,120.00,Americano,Americano,المشروبات الساخنة,Hot drinks,
امريكانو وسط,140.00,Americano orta,Americano Medium,المشروبات الساخنة,Hot drinks,
بترسكوتش لاتيه,180.00,Butter scotch Latte,Butter scotch Latte,المشروبات الساخنة,Hot drinks,
بترسكوتش لاتيه وسط,200.00,Butter scotch Latte Medium,Butter scotch Latte Medium,المشروبات الساخنة,Hot drinks,
بيكو موكا,200.00,Piko Mocha,Piko Mocha,المشروبات الساخنة,Hot drinks,
بيكو موكا وسط,220.00,Piko Mocha Medium,Piko Mocha Medium,المشروبات الساخنة,Hot drinks,
بينك بيري ماتشا لاتيه,180.00,Pink Perry matcha latta,Pink Perry matcha latta,المشروبات الساخنة,Hot drinks,
